
irr,tamb,tmodule,wind,pack
860,45.06,57.5,1.8,42.03
853,44.74,57.25,1.8,41.58
848,45.06,57.66,1.8,41.64
836,45.31,57.25,1.7,40.46
828,44.9,57.09,2.0,40.61
823,45.31,57.09,2.0,40.73
828,45.06,56.52,2.2,40.55
826,44.9,56.11,2.2,41.06
836,44.74,55.79,2.3,41.44
828,44.9,56.28,2.3,41.25
828,45.31,56.28,2.3,40.98
796,45.06,55.79,2.3,39.61
794,45.31,55.63,2.4,39.68
823,44.9,55.63,2.3,40.69
811,45.88,56.11,2.1,40.27
799,46.12,56.28,2.1,39.36
772,46.28,56.11,1.9,38.29
770,46.85,56.11,1.8,38.07
772,46.85,56.28,1.8,38.82
814,44.9,55.63,1.8,40.62
826,44.01,54.81,1.9,40.62
823,42.46,51.65,1.9,40.44
811,42.87,53.03,2.0,40.13
816,43.6,53.59,2.0,39.79
804,44.25,54.65,1.9,39.65
806,44.01,54.65,1.9,39.77
804,43.44,54.81,1.9,39.27
801,43.44,55.06,2.0,39.21
799,44.01,55.38,1.9,39.21
794,44.5,55.38,1.9,39.3
787,44.25,55.22,1.8,38.88
792,44.01,55.06,1.8,39.23
777,44.01,55.22,1.7,38.52
777,44.25,55.38,1.8,38.25
770,42.63,54.0,2.0,38.04
772,43.44,54.41,2.0,38.21
777,43.44,54.65,2.0,38.4
777,42.63,53.43,2.0,38.57
772,42.87,53.27,2.0,38.56
782,43.6,54.0,1.9,38.49
779,43.84,54.25,1.9,38.42
765,43.84,54.41,2.0,37.88
755,42.06,53.03,2.0,37.62
757,42.63,52.46,2.1,37.5
760,43.03,52.86,2.1,37.6
749,42.22,52.46,2.2,37.54
744,43.28,52.86,2.2,36.84
747,43.84,53.43,2.0,37.13
739,44.01,53.59,2.1,36.67
734,44.01,53.84,2.1,36.47
739,43.6,52.86,2.0,36.49
734,43.44,52.86,2.1,36.4
732,42.22,51.65,2.0,36.4
722,41.65,52.46,1.8,36.13
720,41.81,56.11,1.8,35.66
715,42.63,58.31,1.8,35.49
705,42.87,58.06,1.8,35.17
708,42.46,57.25,1.8,35.32
710,42.63,56.68,1.9,35.04
715,42.63,56.52,1.8,35.06
708,42.87,55.63,1.6,35.31
710,42.46,55.06,1.6,35.14
703,42.46,54.81,1.6,35.09
698,42.22,54.25,1.4,34.88
